,charge_TV_max,charge_TV_T,charge_outCur_drop,charge_outCur_drop_T,charge_temp_max,charge_temp_max_T,charge_inCur_drop,charge_inCur_drop_T,charge_vol_max,charge_vol_max_T,discharge_TV_min,discharge_TV_T,discharge_outCur_rise,discharge_outCur_rise_T,discharge_temp_max,discharge_temp_max_T,discharge_loadCur_rise,discharge_loadCur_rise_T,discharge_vol_min,discharge_vol_min_T,capacity
0,4.200041032574582,2940.532,1.4978636174523803,12.672000000000004,29.583130164671164,3253.579,1.4893,2924.797,4.993,2854.469,2.6151397684307285,6515.422000000006,-0.007185663343554231,49.375,31.679728237853865,6515.422000000006,0.0002,49.375,1.585,6515.422000000006,1.8046847720100736
1,4.200039837498785,2988.687,1.4993730553942197,13.0,31.39241239025519,0.0,1.4888,2972.609,4.993,2889.547,2.578716047628789,6516.219,0.0031879682448574514,49.812999999999995,31.42728999177483,6505.735,0.0004,49.812999999999995,1.551,6516.219,1.8047833214525881
2,4.200343902216926,2981.375,1.4970328414217893,13.077999999999996,31.13317965734637,0.0,1.4899,2948.422,4.993,2860.484,2.679890873914289,6489.5,-0.00019986707343282298,49.921,31.694210133469813,6478.968,0.0004,49.921,1.645,6489.5,1.797618668222458
3,4.200216571383405,2967.734,1.4969601761754057,13.359000000000002,31.385374027640992,0.0,1.4888,2916.625,4.993,2837.703,2.674600586599544,6471.25,-0.001137749586216012,50.266000000000005,31.849947051821633,6460.625,0.0002,50.266000000000005,1.633,6471.25,1.7929913687761174
4,4.200037325118692,2956.297,1.49742651466687,13.483999999999995,31.54952638884133,0.0,1.4888,2893.422,4.993,2810.484,2.655983638577288,6466.672,-0.0025967630294361018,50.531,31.891976600913974,6466.672,0.0002,50.531,1.619,6466.672,1.7919180081592216
5,4.200314820159368,2968.89,1.496369181884593,13.936999999999998,29.6379948334367,3362.468,1.4899,2828.672,4.993,2746.797,2.5587601304544574,6410.672,-0.001956027916529648,50.75,31.647839531181656,6410.672,0.0002,50.75,1.531,6410.672,1.775026135903797
6,4.200111045082272,3098.922,1.4996126587950016,14.25,30.12441249730174,3428.891,1.4893,2902.781,4.993,2821.937,2.684075980505414,6474.156,0.0007239823006967267,51.266,31.66717160096336,6474.156,0.0002,51.266,1.649,6474.156,1.7920487852223415
7,4.2005293521324045,3067.172,1.4977643444834006,14.36,31.368813415478925,0.0,1.4899,2931.954,4.993,2858.672,2.692955180725203,6460.75,-0.0010415426065742005,51.406,31.543075306784417,6460.75,0.0004,51.406,1.655,6460.75,1.790475801581265
8,4.200105824363631,3039.859,1.4961842535009788,14.686999999999998,31.24477761930145,0.0,1.4893,2909.375,4.993,2827.0,2.664091579679959,6448.907,-0.001478330428901661,51.75,31.63889282611546,6437.922,0.0002,51.75,1.633,6448.907,1.7868365091987264
9,4.2000744158714385,3027.297,1.4977351254645401,15.078000000000003,31.338181893366166,0.0,1.4899,2886.422,4.993,2806.813,2.599501054239839,6447.125,-0.0001681817531354788,51.859,32.06283964981591,6436.172,0.0002,51.859,1.567,6447.125,1.7871529619962185
10,4.200001194630109,3056.828,1.4989527491795975,15.234000000000002,30.647934635998983,3393.219,1.4893,2796.64,4.993,2718.562,2.5987712023407274,6431.219,-0.0006942540239705646,52.234,31.17821904490572,6420.203,0.0004,52.234,1.566,6431.219,1.7816340617009505
11,4.200116152986351,3075.391,1.4972794778222083,25.078000000000003,30.047035050693896,3423.0,1.4899,2775.86,4.993,2696.531,2.5683373423176117,6442.203,-0.0018389185496022733,52.328,31.830430244172504,6442.203,0.0004,52.328,1.533,6442.203,1.7850235136604733
12,4.200512619287304,3049.578,1.4973825028721066,15.687000000000001,31.564468497512213,0.0,1.4899,2849.812,4.993,2772.343,2.571655326217227,6427.079,0.002775757616536832,52.516,32.176676996947776,6415.922,0.0002,52.516,1.537,6427.079,1.7803865429693038
13,4.200044677797561,3035.781,1.4986392273903653,15.875,31.906343522477563,0.0,1.4899,2825.171,4.993,2759.828,2.5464403411304843,6417.156,0.0011191017747810533,52.859,32.101579055970326,6405.969,0.0004,52.859,1.515,6417.156,1.7789060856417256
14,4.200099848794508,3023.656,1.4987940262274095,15.953000000000003,31.84405064294094,0.0,1.4888,2805.187,4.993,2725.406,2.5488905698718844,6398.907,-0.0035078310008565343,52.891000000000005,31.927225800846255,6387.672,0.0004,52.891000000000005,1.513,6398.907,1.7738387518973049
