0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0.66160053,0.0,0.0,0.89790875,0.0,0.0,0.0,0.51666546,0.7843901,0.0,0.24574071,2.3955774,0.30035987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34665695,0.4338319,0.0,0.0,0.27896115,0.4838604,0.65457886,0.4766137,0.0,0.0,0.0,0.7923661,0.0,0.0,0.0,0.0,0.0,0.47106832,0.94695395,0.0,0.337434,0.83287776,0.0,1.36298,1.3389447,0.0,0.0,1.3636042
1.7848996,0.0,0.24704655,0.13284117,0.0,1.2958567,0.32573622,0.575427,1.6546998,0.24945344,0.79949486,0.0,0.0,0.0,1.9958688,0.0,0.0,0.0,1.578329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8428411,0.0,0.0,0.0,0.0,1.7284145,0.0,0.0,0.42515406,0.0,0.0,0.0,0.6212279,1.0065411,0.0,1.8914853,0.8815598,0.0,0.0,0.25469598,0.0,0.0
0.1938618,0.0,0.95570743,0.44900203,2.043806,0.0,0.0,1.4884541,2.2585993,0.0,0.0,0.0,0.08811067,0.0,0.0,0.0,3.0261235,0.10717453,0.3553375,0.42937315,0.08466445,0.097346835,0.0,0.0,0.0,0.072305724,0.0,0.0,1.0952264,0.0,0.0,1.4356167,1.8158453,0.0,0.44731534,1.0017024,0.0,0.0,0.0,1.7209237,0.7576282,1.0927051,0.0,0.0,0.0,0.37643442,0.0,0.029182302,0.0,1.7290596
1.6682175,0.42946687,0.36391693,0.0,0.0,0.0,0.0,0.0,1.6320776,0.6373669,0.8810288,0.0,0.99197626,0.0,0.0,0.0,0.47164118,0.0,0.0,0.0,0.0,0.6066128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26965111,0.42426932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.848394,0.0,0.23689051,0.0,0.50198174,0.0,1.524236,0.37380674
2.7493753,0.0014391581,0.0,0.0,0.0,0.0,0.25188765,0.0,1.7628105,0.37163413,1.4974877,0.121847145,1.196139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14781722,0.0,0.0,0.0,0.0,0.7635327,0.0,0.0,0.05896068,0.15226436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7221161,0.0,0.9030596,0.0,0.7928579,0.0,1.9837734,0.0
0.0,0.71685356,0.49295333,1.1183083,0.9604006,0.96877104,0.0,0.21619599,0.0,1.157714,0.0,0.91489965,0.0,0.0,0.0,0.37923303,1.0448267,0.0,0.0,0.18864635,0.0,0.0,0.21260616,1.0773605,0.0,0.0,0.0,0.5781681,0.0,0.0,1.4180248,0.38131672,1.085925,0.0,0.66842365,0.45132476,0.0,0.0,0.28358072,0.1596438,1.313432,0.7371395,0.0,0.0,0.0,0.56964475,0.0,0.0,0.31152692,1.4149728
0.38402614,0.0,0.72444177,0.14160433,0.25851557,0.0,0.0,0.0,0.72085726,0.57014906,0.28894776,1.9135733,1.6031194,0.43535155,0.026521223,0.7231765,0.0,0.0,0.0,1.036065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5238066,1.9049898,1.2571253,0.7961249,0.09173027,0.22963798,0.18728757,0.9214877,0.0,0.70120835,0.0,0.0,0.0,0.3398726,1.6746427,0.0,0.3357698,0.0,3.117943,2.4524007,0.0,0.0,0.60823625
0.14459589,0.0,1.6445324,0.5715084,1.3176024,0.0,0.0,1.3603966,0.5936296,0.0,0.0,0.0,0.16277343,0.0,0.0,0.93409586,1.6791265,0.10406909,0.77728504,0.049791966,1.3052,1.7533381,0.0,0.0,0.48443413,0.0,0.0,0.5221256,0.0,0.0,0.0,0.86079705,0.9633999,0.0,0.0,0.0,1.29804,0.14101888,0.0,1.4501793,0.20820157,1.0585347,0.0,0.0,0.0,0.0,0.0,0.1680201,0.0,0.3243279
0.8921077,0.58241546,0.20279743,1.580065,0.0,0.0,0.0,0.0,0.0,1.1608648,1.3544782,0.0,1.410667,0.0,0.0,0.28869203,0.0,0.0,0.0,0.0,0.19263531,0.8092541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52289385,1.2670882,0.0,0.24925452,0.0,0.25477415,0.0,0.65210897,0.0,0.0,0.0,0.0,0.8030175,2.0026965,0.0,0.20840617,0.0,0.48534188,0.0,1.551029,0.0
0.6510818,0.38856176,0.8662348,0.9386375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67721564,1.2615404,0.0,0.38322744,0.5405685,0.6589987,0.0,0.0,0.6762362,0.0,0.6286142,0.0,0.0,0.46708348,0.6193691,0.44767797,0.34488553,0.0,0.0,1.6636283,0.0,1.1729459,0.0,0.7296357,0.0,0.94146997,0.0,0.0,0.0,0.0,0.91077733,0.0,0.28064975,0.0,0.5270499,0.21200761,1.3397199,1.5114614,0.0
